Author,Comment Posted,Content,Like
Tony Gucci,6 days ago,Manny is top 5 all time easily,1
Grey M,1 week ago,This is about Manny's Retirement turns into another Mayweather/Pacquiao debate.,11
Lem Nikim,2 days ago (edited),Pacquiao  can easily beat Mayweather both at prime. Pacquiao actually beat Mayweather at their match even when Pacquiao was injured. You’re just biased Shannon. More power to you Skip!,
tiismuna,3 days ago,"Manny with a injured rotator cuff made a good match with Floyd.
What if its both hands?",
Clestines Gianne Ang,2 days ago,is this about paquiao or floyd? I'm confused lmao,
Chum Chad,15 hours ago,"Just imagine if he won as a president, lol thats a whole new record",
Stix n'Poles,1 week ago,"Big up Manny, but Mayweather took all them to school🔥🔥🔥",3
Johnny Garcia,3 days ago,"The pacman is #1, 8 division champion. All great champions have losses it's part of the game. Very few are undefeated, but there is only 1, 8 division champion.",
Noushauga _,3 days ago,Never knew Skip is a Pacquiao fan I thought Shannon would be the Pacquiao fan then Skip a Mayweather fan but it was the opposite.,
"Boss Jim Curry, Sir",2 days ago,It's about gotdamn time. He just needed the money. I Heard he's running for president.,
Rob Gleason,5 days ago,pacman thankyou for all you gave us much respect and good luck in your future god bless you,
Emanuel De Villa,1 week ago (edited),If Mayweather fights Pacquiao earlier in PACman's career there wouldn't have discussion about on who is really the greatest. No excuses whatever the result is,4
Lem Nikim,2 days ago,"Yes, Pacquiao is in the top 3 all-time boxing greats.",
Jebus Bhrist,16 hours ago,Everyone says Floyd chose every opponent. That doesn’t mean anything because he had already defeated the best boxers of our era. There was no one else for him to fight.,
Uke ni GlenCab,4 days ago,great conversation from a mayweather fan and a Pacman fan.. :),
Gerasmo Balilihan,6 days ago,Perfectly said manny won that fight all ovet the world knows it.,
Miguel J,1 week ago,This guy is the most typical Floyd fan. Smh,3
Joshua Araneta,4 days ago,True g.o.a.t❣,
pedro016541,5 days ago,"deep down inside shannon knows manny beat chicken weather, he just doesnt want to  admit it",
Edgar Pereyra,1 week ago,Thank u manny pacquiao❤️ u r goat,
John Arenas,4 days ago,"Mayweather calling himself TBE? well he should've fight prime Pacquiao a long time ago, I bet he won't stand a chance tbh",
Don't Hate,1 week ago (edited),Manny b like “ nobody can break my career”😂😂,9
Melted nostrils Born without nostrils,9 hours ago,This is the same kind of guy who would've said Zab Judah would've beat Kostya Tszyu before they fought.,
4SHL3Y?,1 day ago,manny pacquiao lied about his age on his coach to fight on the ring,
jackson v1ll,5 days ago,If Pakman lost then he may still comeback 🙂as long as he can box...,
YouTubeEmployees AreGarbage,4 days ago,Im glad he didnt fight spence because lets be honest it would have been a bad night for the legend pacman!!! The guy he fought pretty much beat him in every round but only because he was clearly out of prime,
Love Peace,6 days ago (edited),When Floyd retired...no one cared and thankful but when Manny did the world talked about it.,11
Brian Ticas,6 hours ago,Yeah Pacman and Floyd should have fought in 2010 then a 2nd fight on 2011. They stretched it too long.,
Bernard Baltazar,3 days ago,"My biggest disappointment as a boxing fan: Pacquiao still fought Mayweather with a rotator cuff injury, he should have done what Spence did

2nd: Spence fight became Ugas",
Brian REE,3 days ago,"No matter what, Pac won that fight against Mayweather. numbers and quality of punches don’t lie. 🥊🥊🥊🥊",
Enrique Williams,1 week ago,Pacquiao was the greatest boxer in history for me while floyd was the best defensive fighter. Ugas beat the older pacquiao convincingly than floyd and i thought pacquiao won the floyd fight.,
Memento Mori,1 week ago,Greatest boxer of this generation,11
Rad Base,5 days ago,Greatest boxer ever lived. World class Super fighter. 🤣,
Tuyong Gamay,5 hours ago,If this guy had a beard he would be the GOAT of NBA,
DarK_ MeziaH,3 days ago (edited),"My top 4 boxer of all time in order:
1) mike tyson
2) Muhammad ali
3) floyd mayweather",
Silver Flores,4 days ago,Pacman's a goat in boxing.May God bless and empower you more Sen.Manny Pacquiao 🙏,
Lestr,1 week ago,"i wonder what the outcome was if Mayweather fought Margarito, Cotto, Dela Hoya, JMM and Clottey.. I want to hear your thoughts on that Shannon",3
Dan Mart,3 days ago,Took him long enough. Im glad he did it before he became like anderson silva,
Dave Russel Abillar,1 week ago,You know Pacquiao is one of the best when Mayweather fans pops up and debate how their guy is better lol.,
Edward Torres,1 week ago,Respect the legend,
Marlon Magnaye,1 week ago,The Legend Manny Pacman Pacquiao..GOAT,
Scott Miccall,1 week ago,"I'm so happy☺️ my life is totally changed. I've been earning $10,250 returns  from my $4,000 Investment every 13 days",7
claro rivera,5 days ago,some people watched mayweather to see him lose the fight  and some people watched manny to see him win the fight,
Yung Slimzy,6 days ago,Manny wasn’t gonna turn down 100 million or more 😂,
Ed one,3 days ago,Manny should be the greatest of all time....12 time champion in 8 different weight class... No boxer in history has won world class championships ....,
Moonlight_Aura87,4 days ago,"Thanks for your 26 years of hard work and dedication, the sport and the world of boxing will miss you , all the best to you and your family, enjoy your retirement!",2
Robert Mangum,1 week ago,Skip you a hater 😂. Don’t disrespect Floyd like that.,10
Ariel Ledres,3 days ago,"Thank you guys for recognizing Pacquiao. I hate him running for presidency, BUT, boxing wise, i am so proud of him. Thank you Manny.",
TiYUKiTV,4 days ago,its about time. GREAT CAREER. 😊🙏,
Julius Nool,1 week ago,The start of the Quack Era,
Raymond Maglonzo,6 days ago,Finally skip... thank you ur on point!,
CTYS,5 days ago,The fact that Floyd didn't accept a rematch against Pacquiao makes him only the 2nd greatest fighter of all time behind Manny.,3
Gm Matiga,1 week ago,Sign that the era of the great boxers is end what a legend memories with all great boxers with that era,
CJ Bernados,4 days ago,"I believe once manny looses his candidacy, he'll come back to boxing. Nuff said.",
ojx lor,3 days ago,"Gol D. Roger &  White Beard Vibes   
End of the old Era.🙌",
Jabez,5 days ago,All-time Great! 👍,
Pedro Penduko,1 week ago,He's black that's the reason why he talk like a mayweather's puppy 🤡🦴🐶,5
Cheesehead,1 week ago (edited),Pacquiao is in my top 10. Floyd in my top 20.,1
forgotten hermit,1 day ago,"What people does not understand is that Pacquiao had 72 fights, while Floyd has 50. Zero means nothing. Somehow the 8 division world champion may not be broken for eternity. For 8 is a symbol of eternity. It was destined.",
Wee Jim,4 days ago (edited),Manny Pacquiao is one of the ALL TIME GREATEST BOXERS EVER.👍👍,
blue Ice,5 days ago,If Zab touched Floyd Manny would have done so much more,
BoDesi The Late Bloomer,1 week ago,If Manny would of took the drug test they would’ve fought 5 years prior…,9
Florante Manuel,4 days ago,"Maidana beat Floyd ,that's the fact!",
Allan from PH,2 days ago,"You guys are right he came from nothing, and I mean NOTHING. He used to just drink lots of water because he doesn't have any money to buy food. Slept in the streets. He is a great man.",
Just Sing,5 days ago,"hahaha love you Skip 10:25, says it all👊👊👊",
Joey Bustamante,2 days ago,Not the same again the boxing day without manny.. G.O.A.T from:🇸🇱🇸🇳,
Saints Tales,5 days ago,"Ali
Tyson
Pacman
Floyd",10
Faith Camille,5 days ago,Manny The Legend and Goat 🐐👊👏🇵🇭❤,
Paul 폴,1 day ago,"he had a shot to be in top 3

I put him at 3-5 in all time rank best boxer all time

  

Manny Pacquiao is the best boxer of his era",
Karekare Gao,5 days ago,There will never be manny pacquiao.. 👏👏👏,
Arnel Almanzor,3 days ago,"I love pacman in gloves, but in politics it will take him decades of training before he could carry well a country as a president. Mark my word if he losses this incoming elections for sure he will comeback for 1 or 2 more boxing fights.",
LizardMane,1 week ago,happy retirement pacroid,3
weakbtstrong77 Thangeo,1 week ago,"I just love Skip & Shannon talks on Mayweather & Manny. 👍👍👍
Both fans of one fighter. Both disagreeing on 1 point 😀😀 .However for Shannon your fav boxer have retired as for Skip being the MoneyMayweather fans still out there making money from non boxing boxers.",
Pol gas,1 day ago,He's very old school every boxer beggining to late 50s are gentlemen.,
Franz Ubaldo,1 week ago,The humble beast pacman💪💪💪,
Omicron,1 week ago,We will always remember the only 8 division world champion,
Un Known,1 week ago (edited),"Manny was a warrior & gave us many great fights but

1:02 - Manny didn't want to take the PED Test
4:15 - That excuse came in after the dressing room .. Healed in ""salt water""",7
Ralphsrock12,5 days ago,Why does shannon has to talk about floyd when it’s about manny pac’s retirement?,1
Kim paelo Guadez,18 hours ago,How about changes the  legend Pacquiao  to another boxer CASIMERO🥊🥊🥊,
Link Snow,6 days ago,"Yes, definitely TOP 3",
Wuck,6 days ago,If Manny least lost the election hopefully we can see him back? cross fingers,
Creamer 88,1 week ago,Blame manny for being scared of needles for Floyd fight not happening in their primes,10
odie Kaleka,4 days ago,"Love you Manny Pacman Pacqiao, President the Philipines and the 8 divsion world boxing Champ.",
Quinn,5 days ago,That's my mayweather guy 👏 😆,
Fabian Avalos,4 days ago,"Manny is fun to watch and I'm sure is a good guy.
 However, we won't miss his racist and death threatening fanbase",
Zetsubou,4 days ago,"Manny is the Greatest fighter to ever lived!
Floyd is a Larry Holmes compared to a Manny/Tyson GREATNESS!",
melanated bear 713,1 week ago,Obviously Manny Pacquiao will be missed. However his Pactart delusional fans won’t be whatsoever lmao,7
Ralf Ronel Ayes,4 days ago,Pacquiao is one the greatest boxer of all-time.,
Eddie Tozaka,3 days ago,Thanks  Manny  God bless u and beyond,
The Clown,3 days ago,"Wait what!?, he literally called Gayweather ""Money Mayweather""😂😂",
manuel osorio,1 week ago,finally u realize that u have nothing to prove ! keep safe god bless,
Un Known,1 week ago,Floyd is The Best Ever,4
Beefy,4 days ago (edited),The Ducking era starts now lmao 🤣,
CJ Gatmaitan,4 days ago,LEGEND GOAT! ONE MAN PACMAN! HOF!,
R oofie,5 days ago,What is this article about? Regarding Pacquiao's retirement or fangirling Floyd?,
m.a. b.a,2 days ago,These two could debate on any topic,
BIG BOSS,1 week ago,Manny is better than Floyd,12
Arnel Balmediano,3 days ago,"Now that Manny is gone, Philippines is just Philippines. Face it, he put Philippines in the map. The greatest Filipino fighter of all time n never will it be done by another Filipino again.",
Jesse James Galura,1 week ago,skip is a solid manny until d end thanks skip...,
Mier Em Jay,2 days ago,This 2 guy suppose to talk Manny's retirement but they are talking about floyd😂,
Nuwbi Harar,6 days ago,"Lol he fought an old de La Hoya, and made him drain himself to 147.",
rodeo,2 days ago,PAC is the greatest of his era no questions about it Flyodd is the 2nd greatest facts and real stats prove it.,
Alejo Garcia jr,5 days ago,I quarantee you guys once you see his speech saying retirements majority will cry n goosebombs because i feel it as if im in his body n i quarantee via interviews he will say i cry too i just control on camera,1
Juan Dela Cruize,3 days ago,"Once he loses the election, he'll be back. If the money is good, maybe expect a may vs pac 2",
Matthew W,1 day ago,These guys are really into their jobs,
Trigon 101,1 week ago,The Greatest of his Generation. A natural lightweight who competes at welterweight for 13 years. Fought Everybody.,
JeffVidz,5 days ago (edited),I thought lebron is talking about Manny’s retirement.,
Jiii Piii,2 days ago,"he last fight is so epic, what a coincidence he lost in a guy not famous, like ledwaba fought pacquiao, ledwaba lost",
Gilbert Reyes,4 days ago,When Manny retires boxing will drop significantly in terms of total entertainment. But the other guy just simply retire. He's gonna be missed T .,
Gilbert Tan,4 days ago,manny's only legit loss was from marquez KO and ugas,
Noah Keama,3 days ago,The real people’s champion. What he has done for his people. Spending half of his winnings to feed and house people.,
Kv Cyan,2 days ago,Top 3 easy!,
ai papi,5 days ago,"Mohammad, Mike, Manny is my Mike, Kobe, Bron...ranked interchangeably.",
Janven Mill,4 days ago,Just asking....if how many years already these two fellas are keep on arguing between Mayweather and Pacquiao?😂,
batowski,3 days ago,I can't imagine boxing without Pacquiao in this Era.,
kushihaze,16 hours ago,historically 💯💯💯,
Rosalier Joseph Olaiz,6 days ago,"PBC : Is Manny Pacquiao a Top 3 boxer of all-time?

Top 1, no question... if he's an American.",
Moroii ',13 hours ago,"The title of this video should be 

""Pacquiao Unboxing""",
e j,4 days ago,Only fighter 8div champ. Tell me who can do that? he’s next to Ali.,2
Wandering Mind,1 week ago,Many people can say Manny ain't top 3 greatest but man Manny sure has the greatest glorious movie-like career than anyone in boxing's history.,
FEL Arcade,2 days ago,"Pacquiao hit Maywether's face more than anybody! And take 0 damage from him, so don't tell me than Pacquiao couldn't touch him because he did it, and put Floyd stun at least 3 times of the fight and again! Pacquiao take 0 damage from Floyd",
Carlo M,1 week ago,Just imagine if Floyd has Pacquiao offensive power and Pacquiao has  Floyd defensive style damn,
Bore Jack,1 week ago,Pacuiao could write his name with his boxing gloves on,1
XZBIT MotoVlog,3 days ago,👌👌👌🔥🔥🔥🇵🇭🇵🇭🇵🇭,1
ViewtyfulWorld,1 week ago,"🤣🤣🤣 floyd and pac career is really entangled 
We can not talk about pacs career without talking about the other one, and now i think its soo cool to have that",
boy banat,2 days ago (edited),if pacquiao will lose to election expect a last farewell fight of pacquiao the final show,
Jc,4 days ago,He didn’t beat Márquez 3 times let’s be real,
Kevin Klien Villanueva,4 days ago,Thanks me later. Manny will be back on boxing ring fighting again. Most likely after election.,
What?,1 day ago,1. Most world titles in different weight classes (Manny Pacquiao).  Mayweather is not even top 10.,
jayee 1,1 day ago,One of the most mismanaged fighters of a generation. The 4 marquez fights. The tim bradley fights. Fighting horner. He didnt fight strategically bob arum just milked him for everything he could,
Vincent Marduk,1 day ago,The real TBE,
ZakaryoKu,5 days ago,It was pacs retirement yet their doing maypac postfight?!,
Kenshin Himura,6 days ago (edited),He lost too many fights to people Mayweather would wipe the floor with there is no competition between Pacquiao and Floyd,
Edwin Mayrina,4 days ago,No one can equal greatness of Manny 8 division world champion.proud Filipino here,
Sotdot,5 days ago (edited),Manny Pacquiao chased KO's instead of points. Respect.,
lol,22 hours ago,I’ll take 09 PAC man over Floyd,
Reanu Keeves,14 hours ago,Manny would like to pass the torch to errol spence but that eye happened.. Errol should have been the one.. *facepalm,
The LEGEND,1 week ago,Manny never fought at 154,
Red Dot,1 week ago,Shannon said Durartee LMAOO,
Star Killer,4 days ago,"End of an era, won't see the likes of Pac man again. Who else is going to have 8 titles in so many weight classes. His a boxing icon...",1
Rod William,3 days ago,5 years earlier manny would have destroyed Mayweather,
Dckiks Walton,1 week ago (edited),"Nah! he will fight again, you will see. He is just doing this for his bid for pesidency. Few politicians stated he was lying when he announced retirement when he ran for senator. Win or loose, he will fight again after election. I love and admire his achievement in his boxing carrier.",
Ktdrwz,6 days ago,Man they still ended up debating. HAHAHA,
Norberto Perez,1 week ago,My GOAT and I don't care what anyone has to say.,
ronalyn masaganda,6 days ago,"top 1,real GOAT",
Rico Capitan,4 days ago,Another exciting fighter hang up his gloves..I wonder who will be the next one as exciting as him,
Jd Toledo,2 days ago,Maidana touched him plenty of times on their 1st fight.,
Casey Jones,5 days ago,PAC HAD A BETTER CAREER THAN SKIP AND SHANNON🤷🏻‍♂️😇🤣,1
Joselito Puzon,5 days ago,I came from the alternate timeline where MannyPac Prime and FloydMayweather Prime fight each other and it's a draw but I think Pacquiao win no doubt,
David A.,1 week ago,"Floyd beats Pacquiao at their best every time.........IN VEGAS! where judges highly reward dodging punches. In the opinion of many boxing experts,  a defensive dogged punch has a value of: 0.",
a22fc,3 days ago,Manny fought and fought and fought. Meanwhile Floyd ducked and ducked and ducked,
Frank U.,2 days ago,Come on guys give Juan Manuel some credit please !!!,
Luis Flordeliz,3 days ago,Maaan! Its a hard pill to swallow.😢😭,
Mello Zink,1 week ago,I still can`t accept the passing of the torch. I`m manny`s biggest fan but I wanted spence to be able to get that torch.,
MrKingoverall,3 days ago,He should've retired a damn long time ago.,
Eris,4 days ago,Floyd is self-proclaimed GOAT. Pacquiao is proclaimed by the people as GOAT.,
Mike Cama,3 days ago,"He can be easily in the top 5 all time but in my opinion to be the GOAT of all time only reserved for the top tier class of any sports! In boxing that’s the HEAVYWEIGHT division. Just an example Mike Tyson top tier vs Mayweather lower weight, put those two guys in their prime in the ring not even close!",
Kal El,4 days ago,Ain't nobody gonna remember Floyd in 50 yrs cause there's a lot of boxers undefeated until retirement but there's only one 8-division champ.,
frank garrett,3 days ago,Everyone always say Floyd ran  what does that say about the fighters who got beat up by a guy running from them !🤣,
BoxingCritic,1 week ago,My personal Super GOAT!,
A. H.,3 days ago,Pacroid robbed Marquez all 3 times they fought.  What is PBC smoking?  Pacquiao cherry picked his way through.,
Eddie Cruz,5 days ago (edited),Segment on many retiring. Spends 60 percent of it talking about Floyd. Lmao,
NinjaNateOS,3 days ago,They were doing great until skip had to come in with his nonsense,
Mark Anthony Vino,5 days ago,I idolized manny paquiao for the very long time until now. In his sport for me he's the greatest. Truly he is a great man a humble guy but in politics like he's running for presidency i will not vote for him.,
Jeffrey Gener,4 days ago,"Idol Manny Pacquiao we're going to miss you in boxing!! You fought anybody!! You started from nothing or nowhere to greatest boxer of all time!! You are legit as the greatest boxer of all time!! Your legendary career, Never duck against anyone including Errol Spence Jr if not for his eye 👁️ injury!! Your resume in boxing 🥊 is better anybody in boxing history!! Mabuhay ka idol Manny Pacquiao!! Skip well said about idol Manny Pacquiao, Skip thank you for defending idol Manny Pacquiao!!",
JD tv,1 week ago,"The 🐐 signing off,,",1
Pacho Ocesn94,6 days ago,"Boxing legend ❤❤❤
O.G 🤛",
Eysi Acy,4 days ago (edited),"Floyd is never a fighter, he just run on each edge of the box and win the belt. Idk what the left guy is saying.. to be fair, floyd fought manny in the early rounds but when he felt Manny's punch power.. that's the time he ran over and over HAHAHAHA",
fredstah714,4 days ago,He is a good man.,
Dominick Tandang,1 week ago,Yup I am on skip with this one pacman could have beat floyd,
L33V1LL,1 day ago,Hes number 1 for all of hes opponents were bigger than him and 8 division cmon man.,
All About Us,1 week ago,If I was to get in a street fight.. I rather have pacquiao on my side over mayweather.,
Duane Donaldson,3 days ago,"Sleep walkin', a better word is a fixed fight, get rich from a fight or get richer from a fixed fight and betting on yourself to lose, no worries mate, we love PACMAN.",
Uso's brutalino,6 days ago,Pacquiao is a beast never cherry pick anybody always ready plus he is very humble thats why he is our peoples champ,
is it true? yes okey dokey yo,1 week ago,I can't fathom how it's one person who started professional boxing with 98lbs and an iron ball in his briefs and fought years later with a 165 pounder. 🐐,
Jean Paul Labalan,6 days ago,Manny the goat in boxing history..💪💪👊👊,
I want that pussy cat so much,3 days ago,"Castillo easily beat Floyd mayweather as most people know this.. Judges 
Gave Floyd a gift",
sherkhan,1 week ago,Most disappointment is no rematch of Floyd and Manny.,
Sayu-chaso,6 days ago,Pacquiao is the last one from THAT era that retired.,
V B,2 days ago,Half the discussion was on Floyd,
oopsie0089 oopsie,1 week ago,The best ever,
E,14 hours ago,Shannon is so annoying. This isn’t a Mayweather can easily beat him segment; give Pacquiao his due credit since HE just retired.,1
Tristan Patriarca,4 days ago (edited),🇵🇭❤️💪,
state of mind,3 days ago,"There's 2 version of floyd 
Pretty boy and money Mayweather. Pretty boy a monster.",
Alandros Yamato,1 week ago,the thing about floyed why he didnt really wanna fight pacman again is cause floyed knew that manny was injured during that fight lol. if manny got the rematch floyed wouldve lost. people can defend floyed all they want. you can't call yourself the best fighter in the world when you are afraid to give the only one who made you run around the ring like a headless chicken a rematch. ployed chicken weather. but grats manny on your retirement.,
chocoman,1 week ago,Thanks champ.your a legend.,1
_*엠버*_,1 day ago,"Ahm not so sure about this retirement drama of him, I’m sure after presidential election he will still do boxing because he is a legend Money Pacman! 💵💵💵",
oneviwatara,4 days ago,Floyd is the greatest fighter that got beat by a YouTube fighters 😆😂😅🤣,
Arnold Garcia,1 day ago (edited),"We support Manny all the way inside the ring......we will defend him in any given time.....but him into politics, nah i don't think so......I'll pass",
Alex Tayoyong,3 days ago,"Floyd is the greatest runner of all time... Wait, he's a boxer? I don't think so.",
Grant Asilom,1 day ago (edited),"People think that fighting in different weight class is no big deal. Mayweather is a natural welterweight fighter but he started at super featherweight. Imagine Mayweather jump 8 div from super featherweight to cruiserweight/heavyweight. Pacquiao has fought in 11 of the 17 weight divisions, he started at light flyweight and went to fight at light middleweight div and still won.",
Navarz TV,5 days ago,"Manny retiring for politics.

Floyd retiring is for avoinding and to protect his zero legacy",
ANDREI MENDOZA,1 week ago,"If he loses the run for president in the philippines, i think he will definitely return to boxing and fight at least once.",1
William Kimmons,4 days ago,Did I just hear someone say that Floyd Mayweather has “dynamite” in his hands? LOL,
Json Ace,1 week ago,"Don't forget that manny is a naturally flyweight and made it into higher division, and for his loss, knockdown,    it is because he is naturally smaller man and fighting bigger guys. The only 8 division. For me he is #1.  D""Goat.",
John Paul Morales,1 day ago,Pacquiao is one of the Goat,
Bern Minada,4 days ago,"Nobody could beat floyd he has arsenal to keep it that way, and of course super organized Judges and ok USADA. nOBODY BUT FLOYD.",
Admiral General Aladeen,1 week ago,greatest of all time 🐐,
Christian Cuarte,1 week ago,"Floyd retired early in his prime career to dodge pacquiao prime which is very obvious. Shannon spitting his opinions like Manny can't touch him lol prime Pacquiao is the best fighter ever and can knock everyone cold, this is boxing and anything could happen. Floyd got nothing for Manny but all respect but the beef is so cringe af.",
RE HYPHEN UPS.TV,3 days ago,I remember pacquioa as being a gimmick he fought slow flat footed fighters that came straight forward,1
ABC 123,3 days ago,It  was supposed to be tribute but ended up as a debate😂😂,
TheBigHomie Show,3 days ago,5 years earlier would not have made a difference Mayweather would have still beaten him people hate Mayweather because of his character but that man knows boxing he beat the best in the world and these commentators still refuse to give that man his props for his skill and knowledge about boxing,
Oceans808,3 days ago,Enough of Floyd. That dude was a cherry-picker.,
Louis Henton,1 week ago (edited),I didn’t want to see him get hurt I’m glad he retired no excuses Floyd is older than Pacquiao Pacquiao could never beat Floyd at any time Floyd ran through everybody all the bogeyman there was no dancing he stood in the pocket and beat Canelo to death. Clinic,
BLACK SWORDSMAN,2 days ago,We cant see another relentless With brain fighter like manny when i say slugfest put him in there and he'll win,
Keddo Lyrics,4 days ago (edited),top 2 all time 8 divsion.. who else has more belts than him? let me tell you no one..,
vivianico linatoc,5 days ago,"After Manny leaved Boxing, MMA is waving as the next famous combat sport than Boxing.",
Zeus Romasanta,1 week ago,Manny Pacquiao is a Legend......the greatest of all time in boxing history.,
Alex Cameron,4 days ago,3rd all time in my view. Ridiculous career. Love Manny,
Omar Mendoza,2 days ago,Dirk retire Kobe retire and manny retired!! I’m getting old  lol im from 1992,
LitModz,1 day ago,"imo I think the best are 
Muhammad ali
Floyd mayweather 
Manny pacquiao",
Reginal Riel Cabanting,4 days ago,GOAT 🇵🇭🦌,
Touz_11_7Hugz,1 week ago,"That's true Pacquiao probably never even watched Ugas fight untill that last week to prepare for him. Ugas probably been watching Pacquiao since he was a kid. So he had an advantage on that, on size and youth!!!",1
dennis katigbak,5 days ago,mayweather is a runner he might defeat bolt on a 1v1 race nyahaha,
Carl Loren,1 week ago,Thank you Shannon! Duterte would do anything to cling to power and run for vice president to avoid the ICC for his crimes,1
Bilaal Ahmed,4 days ago,"Skip is too excusey here. At least mention his great triumphs forget making excuses for the controversies. He beat Barrera, Morales a couple times, De La Hoya, Hatton, Cotto, Margarito, Moseley, Marquez a few times, Vargas, Broner, Thurman... ",
Mark Lapuz,4 days ago,We love him but he cannot be the next president no way! We whish him all the best in life but not the presidency. Thank Manny for being you. God bless you and we love you man!,
Favian Hernandez,6 days ago,Floyd dodge pacman for a reason,
looky lookie loko B.,3 days ago,when he loses in the presidential elections in may he is going to have a comeback fight in november.. lol,
I Love God,2 days ago,"Exodus 20:7  NIV You shall not misuse the name of the Lord your God, for the Lord will not hold anyone guiltless who misuses his NAME",
Bo Tups,1 week ago,Maywheather is a coward boxer.....,1
Marckus Pena,2 days ago,i thought the topic was about pacman retiring? its all about gayweather lol,1
Michael Jay Canoy,1 week ago (edited),People always says it wrong. My Gosh Pacquiao has a 12Major Title and won 8division Championships..not 8 titles only if we talk about titles He Got uncountables including minor titles and opbf and regionals,1
Mark Ty Wedding Film Editor,1 day ago,TBE was already beaten by castillo,
Bruno Camuti,3 days ago,Big Pac Man fan here. Top 15 all of time P4P,
Paul Sumabong,3 days ago,He was a warrior.,
Samuel Park,2 days ago,"What's crazy is that boxing wasn't his main priority either; for some boxing was the goal, for Manny it was merely a stepping stone.",
Kel,5 days ago,"Manny's natural weight class is in 135 at his best. On fight night shows up at 144.. And fighting 147. He doesn't cut weight fighting in welterweight for a decade.. Floyd is a bigger dude, could've gone middleweight. Pound for pound.. Pac came from 108-154.. Pound for pound greatest!",
UP UP AND AWAY,5 days ago,We will miss you Manny.,
Bob Teo,3 days ago,Manny is a tough customer in the ring.... But so affable in his normal life in his native Phillippines,
t brooks,6 days ago,Manny wasn’t dominating that 4th fight before he got knocked out. It was a close fight,1
Active Evolution,4 days ago,"Looking at nearly 4 minutes of Floyd talk when its a video about Manny. 
Nobody tuned in to hear about Mayweather..",
ADmantium,1 week ago,stop rubbing mayweather on pacman's retirement,
Rommel Garcia,4 days ago,Yow. Shannon should watch the slow-mo of pac may fight,
Geo Garcia,4 days ago,"Sugar Ray hit to hard for Floyd.....would have been goid for 5 or 6 rounds.....The Rays volume, power & smarts would have stopped him. Don't go there Sharpe. lol",
P Ferrer,4 days ago,highly doubt he's done for good.,
Serhyuso Agamah,5 days ago,♥,
Archie tabzz,3 days ago,In this interview they are both in the Same Boat 😁,
Fuk d Pôpó,4 days ago,Manny Pacquiao the GOAT,
Jlim17,11 hours ago,Manny giving up boxing to pursue politics is just so disappointing. He is literally giving up something that he has worked for decades. I don't even think that he will win the elections considering his background.,1
Bradd Young,6 days ago,Floyd is the most accurate puncher in history. Check the numbers but really I just wish we can give Manny his props without bringing up Floyd. Damn!,
Jose Rosal,11 hours ago,Floyd lost to Castillo on first fight.Castillo was rob.Floyd lost to Maidana also.,
Bogoa Bataa,3 days ago,"Kurama dies, Sasuke loses RinneSharingan, now Manny retires, what a sad year.",
Derek Ramel,6 days ago,The only 8 division Manny Pacquiao ♥️♥️♥️,
Jaime,1 week ago,"8 division champion.

floyd wasn't even a 7 weight world champion.",
Allan Dytianquin,4 days ago,Manny Pacman & Muhalad Ali the greatest boxers of all time.,
Joelson Sabado,1 week ago,"people love Pacquiao  because  he loved faing odds thats are so stacked against  him and somehow he manages to beat all kinds disadvantages, you never discredit a guy who came from flyweight and gave a good whooping to bigger welterweights",
boycot china product,15 minutes ago,Pazquiao retirement still floyd come up in discussion LOL,
Jabez,5 days ago,"Skip hating on Floyd, c'mon man!",
ronalyn masaganda,6 days ago,Pacman = GOAT,
J G,1 week ago (edited),"i think manny has easily  of beats floyd if he fought ""pretty boy"" floyd and lowest chance of beating floyd in ""Money"" mayweather version

Pretty boy floyd was e great defensive boxer but more agressive and had KO power which can easily be open for Pacquiao Offence",
Noushauga _,3 days ago,Can't believe I'm agreeing with Skip here over Shannon,
Julian De Lara,6 days ago,This is the only moment i agree with skipp.,
Geoffry Geraldo,4 days ago,for me paqc is most  num one on boxing real talk...😊😊100%,1
Shad Dy,1 day ago (edited),"I stopped watching Boxing since he lost to Jeff Horn. That bout was dirty! Now that Pac has retired, Boxing is officially dead
PS. F Shannon for making this about Mayweather",
Carlo Gaming,1 day ago,HEY FOX. If he loses the election here in the Philippines. I assure you he'll come back to boxing. 2-3 more games. If he doesnt within 3 years. Ill shave my head.,
Warner luterte,1 week ago,Legendary Manny Pacquiao,
Kenzo Yap,5 days ago,Manny = G.O.A.T.,
JR Ladislao,1 week ago,Manny the goat.,
Amer Sayyed-Fassad Al Houssaini,17 hours ago,Americans will never understand that manny didnt only gave us filipinos glory but also hope. At the end of the day filipinos are the only ones that can fully appreciate and understand what mannys greatness meant to us. Hes always been a symbol of hope for the philippines a third world country with rampant poverty. Thats why he will always be loved by the filipinos whatever happens,
Raul Figueroa,5 days ago,"Isn’t this segment suppose to be about Pacquiao achievements, then why bring up Mayweather?! Maybe Floyd was the better boxer, but Manny was the greater fighter. No ifs and or buts about that",
John Paul,6 days ago,Manny Pacquiao is like Makunochi Ippo in real-life,
kgrose,3 days ago,Pacquiao wanted it all he is dreaming  hahahaha,
Jeh Dee,5 days ago,"Wasnt dominating the fight...marquez was up in rounds 3 to 2😂😂

ESPN your boy skip is delusional...the boxing community makes fun of him.",
Bikes And Butts,1 hour ago,"floyd is a boxer, manny is a warrior",
